"","gender","type","continent"
"533","F","Gatekeeper","North America"
"534","M","Gatekeeper","North America"
"535","M","Gatekeeper","North America"
"536","F","Gatekeeper","North America"
"537","M","Gatekeeper","North America"
"538","M","Gatekeeper","North America"
"539","F","Gatekeeper","North America"
"540","UNK","Gatekeeper","North America"
"541","M","Gatekeeper","Europe"
"542","M","Gatekeeper","Europe"
"543","F","Gatekeeper","North America"
"544","M","Gatekeeper","Asia"
"545","M","Gatekeeper","Europe"
"546","M","Gatekeeper","Europe"
"547","M","Gatekeeper","North America"
"548","M","Gatekeeper","North America"
"549","M","Gatekeeper","North America"
"550","M","Gatekeeper","North America"
"551","M","Gatekeeper","North America"
"552","F","Gatekeeper","North America"
"553","M","Gatekeeper","North America"
"554","M","Gatekeeper","North America"
"555","M","Gatekeeper","North America"
"556","M","Gatekeeper","Europe"
"557","M","Gatekeeper","North America"
"558","F","Gatekeeper","North America"
"559","M","Gatekeeper","Asia"
"560","M","Gatekeeper","Europe"
"561","M","Gatekeeper","North America"
"562","M","Gatekeeper","North America"
"563","M","Gatekeeper","North America"
"564","M","Gatekeeper","Europe"
"565","M","Gatekeeper","Europe"
"566","M","Gatekeeper","North America"
"567","M","Gatekeeper","Europe"
"568","M","Gatekeeper","Europe"
"569","F","Gatekeeper","North America"
"570","F","Gatekeeper","North America"
"571","M","Gatekeeper","North America"
"572","M","Gatekeeper","North America"
"573","M","Gatekeeper","North America"
"574","M","Gatekeeper","Europe"
"575","F","Gatekeeper","North America"
"576","M","Gatekeeper","North America"
"577","F","Gatekeeper","North America"
"578","M","Gatekeeper","North America"
"579","F","Gatekeeper","Europe"
"580","M","Gatekeeper","Europe"
"581","M","Gatekeeper","Europe"
"582","M","Gatekeeper","Europe"
"583","F","Gatekeeper","North America"
"584","F","Gatekeeper","Europe"
"585","M","Gatekeeper","Europe"
"586","M","Gatekeeper","Europe"
"587","M","Gatekeeper","Europe"
"588","M","Gatekeeper","Europe"
"589","M","Gatekeeper","Europe"
"590","M","Gatekeeper","North America"
"591","F","Gatekeeper","North America"
"592","M","Gatekeeper","North America"
"593","M","Gatekeeper","North America"
"594","M","Gatekeeper","North America"
"595","M","Gatekeeper","North America"
"596","F","Gatekeeper","Oceania"
"597","UNK","Gatekeeper","North America"
"598","M","Gatekeeper","North America"
"599","M","Gatekeeper","North America"
"600","F","Gatekeeper","North America"
"601","M","Gatekeeper","North America"
"602","M","Gatekeeper","Asia"
"603","M","Gatekeeper","Europe"
"604","F","Gatekeeper","Europe"
"605","M","Gatekeeper","Europe"
"606","F","Gatekeeper","Europe"
"607","F","Gatekeeper","Europe"
"608","M","Gatekeeper","Europe"
"609","M","Gatekeeper","Europe"
"610","M","Gatekeeper","Asia"
"611","M","Gatekeeper","Asia"
"612","M","Gatekeeper","Asia"
"613","M","Gatekeeper","Asia"
"614","F","Gatekeeper","Africa"
"615","M","Gatekeeper","Europe"
"616","M","Gatekeeper","Europe"
"617","M","Gatekeeper","Africa"
"618","M","Gatekeeper","Africa"
"619","F","Gatekeeper","Europe"
"620","M","Gatekeeper","Europe"
"621","M","Gatekeeper","Europe"
"622","M","Gatekeeper","Europe"
"623","F","Gatekeeper","Europe"
"624","F","Gatekeeper","Europe"
"625","M","Gatekeeper","Europe"
"626","M","Gatekeeper","Europe"
"627","M","Gatekeeper","Europe"
"628","F","Gatekeeper","North America"
"629","M","Gatekeeper","North America"
"630","M","Gatekeeper","North America"
"631","M","Gatekeeper","North America"
"632","F","Gatekeeper","North America"
"633","M","Gatekeeper","North America"
"634","M","Gatekeeper","North America"
"635","M","Gatekeeper","North America"
"636","M","Gatekeeper","North America"
"637","M","Gatekeeper","North America"
"638","M","Gatekeeper","North America"
"639","M","Gatekeeper","North America"
"640","F","Gatekeeper","North America"
"641","M","Gatekeeper","North America"
"642","M","Gatekeeper","North America"
"643","M","Gatekeeper","North America"
"644","M","Gatekeeper","North America"
"645","M","Gatekeeper","North America"
"646","F","Gatekeeper","North America"
"647","M","Gatekeeper","North America"
"648","M","Gatekeeper","North America"
"649","F","Gatekeeper","North America"
"650","M","Gatekeeper","North America"
"651","M","Gatekeeper","North America"
"652","M","Gatekeeper","North America"
"653","M","Gatekeeper","North America"
"654","M","Gatekeeper","North America"
"655","M","Gatekeeper","North America"
"656","M","Gatekeeper","North America"
"657","M","Gatekeeper","North America"
"658","M","Gatekeeper","North America"
"659","F","Gatekeeper","North America"
"660","F","Gatekeeper","North America"
"661","F","Gatekeeper","North America"
"662","F","Gatekeeper","North America"
"663","M","Gatekeeper","North America"
"664","M","Gatekeeper","North America"
"665","M","Gatekeeper","North America"
"666","M","Gatekeeper","North America"
"667","M","Gatekeeper","North America"
"668","F","Gatekeeper","North America"
"669","M","Gatekeeper","North America"
"670","M","Gatekeeper","North America"
"671","F","Gatekeeper","North America"
"672","F","Gatekeeper","North America"
"673","M","Gatekeeper","North America"
"674","M","Gatekeeper","North America"
"675","F","Gatekeeper","North America"
"676","F","Gatekeeper","North America"
"677","M","Gatekeeper","North America"
"678","F","Gatekeeper","North America"
"679","M","Gatekeeper","Oceania"
"680","M","Gatekeeper","Europe"
"681","M","Gatekeeper","North America"
"682","M","Gatekeeper","Asia"
"683","M","Gatekeeper","Asia"
"684","UNK","Gatekeeper","Europe"
"685","F","Gatekeeper","Europe"
"686","M","Gatekeeper","Europe"
"687","M","Gatekeeper","Europe"
"688","M","Gatekeeper","Europe"
"689","M","Gatekeeper","Europe"
"690","M","Gatekeeper","Europe"
"691","M","Gatekeeper","Europe"
"692","M","Gatekeeper","Europe"
"693","F","Gatekeeper","Europe"
"694","M","Gatekeeper","Europe"
"695","F","Gatekeeper","Europe"
"696","M","Gatekeeper","Europe"
"697","M","Gatekeeper","Europe"
"698","M","Gatekeeper","Europe"
"699","M","Gatekeeper","Asia"
"700","M","Gatekeeper","Asia"
"701","M","Gatekeeper","Asia"
"702","F","Gatekeeper","Asia"
"703","F","Gatekeeper","Asia"
"704","M","Gatekeeper","Asia"
"705","M","Gatekeeper","Europe"
"706","M","Gatekeeper","Europe"
"707","M","Gatekeeper","Europe"
"708","F","Gatekeeper","Oceania"
"709","M","Gatekeeper","Asia"
"710","M","Gatekeeper","Europe"
"711","M","Gatekeeper","Europe"
"712","UNK","Gatekeeper","Europe"
"713","M","Gatekeeper","Europe"
"714","M","Gatekeeper","Europe"
"715","F","Gatekeeper","Europe"
"716","M","Gatekeeper","Europe"
"717","M","Gatekeeper","Europe"
"718","F","Gatekeeper","Asia"
"719","M","Gatekeeper","Europe"
"720","M","Gatekeeper","Europe"
"721","M","Gatekeeper","Europe"
"722","M","Gatekeeper","Europe"
"723","M","Gatekeeper","Europe"
"724","F","Gatekeeper","Europe"
"725","M","Gatekeeper","Europe"
"726","M","Gatekeeper","Europe"
"727","M","Gatekeeper","Europe"
"728","M","Gatekeeper","Europe"
"729","M","Gatekeeper","Europe"
"730","M","Gatekeeper","Europe"
"731","M","Gatekeeper","Europe"
"732","M","Gatekeeper","Europe"
"733","M","Gatekeeper","Europe"
"734","F","Gatekeeper","North America"
"735","F","Gatekeeper","North America"
"736","M","Gatekeeper","North America"
"737","M","Gatekeeper","North America"
"738","M","Gatekeeper","North America"
"739","F","Gatekeeper","North America"
"740","M","Gatekeeper","North America"
"741","UNK","Gatekeeper","North America"
"742","M","Gatekeeper","North America"
"743","M","Gatekeeper","North America"
"744","F","Gatekeeper","North America"
"745","M","Gatekeeper","North America"
"746","M","Gatekeeper","North America"
"747","M","Gatekeeper","North America"
"748","M","Gatekeeper","North America"
"749","M","Gatekeeper","North America"
"750","M","Gatekeeper","North America"
"751","M","Gatekeeper","North America"
"752","M","Gatekeeper","North America"
"753","F","Gatekeeper","North America"
"754","M","Gatekeeper","North America"
"755","M","Gatekeeper","North America"
"756","M","Gatekeeper","North America"
"757","M","Gatekeeper","North America"
"758","M","Gatekeeper","North America"
"759","M","Gatekeeper","North America"
"760","M","Gatekeeper","North America"
"761","M","Gatekeeper","North America"
"762","M","Gatekeeper","North America"
"763","M","Gatekeeper","North America"
"764","M","Gatekeeper","North America"
"765","F","Gatekeeper","North America"
"766","M","Gatekeeper","North America"
"767","M","Gatekeeper","North America"
"768","F","Gatekeeper","North America"
"769","M","Gatekeeper","North America"
"770","F","Gatekeeper","North America"
"771","M","Gatekeeper","North America"
"772","F","Gatekeeper","North America"
"773","F","Gatekeeper","North America"
"774","M","Gatekeeper","North America"
"775","M","Gatekeeper","North America"
"776","M","Gatekeeper","North America"
"777","M","Gatekeeper","North America"
"778","F","Gatekeeper","North America"
"779","M","Gatekeeper","North America"
"780","M","Gatekeeper","North America"
"781","M","Gatekeeper","North America"
"782","F","Gatekeeper","North America"
"783","M","Gatekeeper","North America"
